94,Durham,North Carolina ,-35.0612,199.23974
95,Harrisburg,North Carolina ,-35.06121,200.23974
96,Raleigh,North Carolina ,35.771,-78.638
97,Columbus,Ohio,39.962245,-83.000647
98,Newark,Ohio,-35.06124,203.23974
99,Oklahoma City,Oklahoma,-35.482308,-97.534994
100,Albany,Oregon,-35.06126,205.23974
101,Portland,Oregon,-35.06127,206.23974
102,Salem,Oregon,44.931109,-123.029159
103,Springfield ,Oregon,-35.06129,208.23974
104,Harrisburg,Pennsylvania,40.269789,-76.875613
105,Philidelphia,Pennsylvania,-35.06131,210.23974
106,East Greenwich,Rhode Island,-35.06132,211.23974
107,East Providence ,Rhode Island,-35.06133,212.23974
108,Lincoln,Rhode Island,-35.06134,213.23974
109,North Providence,Rhode Island,-35.06135,214.23974
110,Providence,Rhode Island,41.82355,-71.422132
111,Charleston,South Carolina ,-35.06137,216.23974
112,North Charleston ,South Carolina ,-35.06138,217.23974
113,Memphis,Tennessee,-35.06139,218.23974
114,Nashville,Tennessee,36.165,-86.784
115,Austin,Texas,30.266,-97.75
116,Dallas,Texas,-35.06142,221.23974
117,Fort Worth,Texas,-35.06143,222.23974
118,Houston,Texas,-35.06144,223.23974
119,Richmond,Texas,-35.06145,224.23974
120,Provo,Utah,-35.06146,225.23974
121,Salt Lake City,Utah,40,226.23974
122,Burlington,Vermont,-35.06148,227.23974
123,South Burlington,Vermont,-35.06149,228.23974
124,Richmond,Virginia,-35.0615,229.23974
125,Virginia Beach,Virginia,-35.06151,230.23974
126,Olympia,Washington,-35.06152,231.23974
127,Seattle,Washington,-35.06153,232.23974
128,Springfield ,West Virgina,-35.06154,233.23974
129,Madison,Wisconsin,-35.06155,234.23974
130,Milwaukee,Wisconsin,-35.06156,235.23974
131,New Richmond ,Wisconsin,-35.06157,236.23974
132,Juneau,Alaska,-35.06158,237.23974
133,Anchorage,Alaska,-35.06159,238.23974
134,Helena,Montana,46.595805,-112.027031
135,Billings,Montana,-35.06161,240.23974
136,Fargo,North Dakota ,-35.06162,241.23974
137,Bismarck,North Dakota ,48.813343,-100.779004
138,Rapid City,South Dakota,-35.06164,243.23974
139,Sioux Falls,South Dakota,-35.06165,244.23974
140,Cheyenne,Wyoming,-35.06166,245.23974
141,Jackson,Wyoming,-35.06167,246.23974
142,Tallahassee,Florida,30.4518,-84.27277
143,Montgomery,Alabama ,30.4518,248.23974
144,Frankfort,Kentucky,38.197274,-84.86311
145,Augusta,Maine,44.323535,-69.765261
146,Portland,Maine,-35.06172,251.23974
147,South Portland,Maine,-35.06173,252.23974
148,Jackson,Mississippi,32.32,-90.207
149,Memphis,Mississippi,-35.06175,254.23974
150,Lincoln,Nebraska,40.809868,-96.675345
151,Albuquerque,New Mexico,-35.06177,256.23974
152,Springfield,Illinois,39.78325,-89.650373
153,Charleston,West Virginia ,-35.06179,258.23974
154,Pittsburgh,Pennsylvania,-35.0618,259.23974
155,Topeka,Kansas,39.04,-95.69
156,Baton Rouge,Louisiana,30.45809,-91.140229
157,Lansing,Michigan,42.7335,-84.5467
158,Jefferson City,Missouri,38.572983,-92.189283
159,Carson City,Nevada,39.160949,-119.753877
160,Concord,New Hampsire,43.220093,-71.549127
161,Columbia,North Carolina ,34,-81.035
