Frankfort,Kentucky,Ê-35.06170,249.23974
Augusta,Maine,Ê-35.06171,250.23974
Portland,Maine,Ê-35.06172,251.23974
South Portland,Maine,Ê-35.06173,252.23974
Jackson,Mississippi,Ê-35.06174,253.23974
Memphis,Mississippi,Ê-35.06175,254.23974
Lincoln,Nebraska,Ê-35.06176,255.23974
Albuquerque,New Mexico,Ê-35.06177,256.23974
Springfield,Illinois,Ê-35.06178,257.23974
Charleston,West Virginia ,Ê-35.06179,258.23974
Pittsburgh,Pennsylvania,Ê-35.06180,259.23974
